Drug	SMILES
sulconazole	Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
estramustine	C[C@]12CCC3C(CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)C1CC[C@@H]2O
pinaverium	COc1cc(Br)c(C[N+]2(CCOCCC3CC[C@H]4C[C@@H]3C4(C)C)CCOCC2)cc1OC
fendiline	CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1
fursultiamine	C\C(N(Cc1cnc(C)nc1N)C=O)=C(\CCO)SSCC1CCCO1
nafadotride	CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC
inimur	CSCC1CN(\N=C\c2ccc(o2)[N+]([O-])=O)C(=O)O1
metoxibutropate	COc1ccccc1OC(=O)C(C)c1ccc(CC(C)C)cc1
lufenuron	FC(C(F)(F)F)C(F)(F)Oc1cc(Cl)c(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl
mifobate	COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC
eprazinone	CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1
metergoline	CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]2[C@H]1Cc1cn(C)c3cccc2c13
choline-alfoscerate	C[N+](C)(C)CCOP(O)(=O)OC[C@H](O)CO
spiroxatrine	O=C1NCN(c2ccccc2)C11CCN(CC2COc3ccccc3O2)CC1
SKF-96365	COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1
lasalocid	CC[C@H](C1OC(CC)(C[C@@H]1C)C1CC[C@](O)(CC)[C@H](C)O1)C(=O)C(C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(O)=O
peruvoside	CO[C@H]1[C@@H](O)C(C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)C1O
nalmefene	Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=C)CC[C@@]35O
fexofenadine	CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
adaprev	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
tagatose	OCC(O)C(O)C(O)C(=O)CO
LB-100	CN1CCN(CC1)C(=O)C1[C@H]2CC[C@H](O2)C1C(O)=O
nanchangmycin	CO[C@H]1CCC(O[C@H]2CC(O[C@]3(O[C@H](C[C@@H]3C)C3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)[C@@H]2C)[C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@H](O3)[C@@H](C)\C=C(/C)C(=O)[C@H](C)C[C@H](C)C(O)=O)O2)O[C@@H]1C
EX-527	NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21
5-hydroxytryptophan	NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O
CGP-54626	C[C@H](NC[C@H](O)CP(O)(=O)CC1CCCCC1)c1ccc(Cl)c(Cl)c1
PMPA	OC(=O)CCC(CP(O)(O)=O)C(O)=O
ibutilide	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
etodolac	CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12
estradiol-benzoate	C[C@]12CCC3C(CCc4cc(OC(=O)c5ccccc5)ccc34)C1CC[C@@H]2O
pralatrexate	Nc1nc(N)c2nc(CC(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2n1
gatifloxacin	COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,	COc1cc2CCNC(C)c2cc1OC
anidulafungin	CCCCCOc1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)c1ccc(O)cc1)C(C)O
vitamin-b12	C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2[N+]3=C1C(C)=C1[C@@H](CCC(N)=O)C(C)(C)C4=[N+]1[Co]31(C#N)N3C([C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]23C)=C(C)C2=[N+]1C(=C4)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O)OP(O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12
rimantadine	CC(N)C12CC3CC(CC(C3)C1)C2
isoxicam	CN1C(C(=O)Nc2cc(C)on2)C(=O)c2ccccc2S1(=O)=O
clenbuterol	CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
SDM25N	CC(=C)CN1CC[C@@]23[C@H]4Oc5c2c(CC1[C@]3(O)Cc1c4[nH]c2ccccc12)ccc5O
blebbistatin-(+/-)	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1
lomefloxacin	CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12
leucovorin	Nc1nc(=O)c2N(C=O)C(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNc2[nH]1
clindamycin-palmitate	CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1SC)C(NC(=O)C1CC(CCC)CN1C)C(C)Cl
SYM-2206	CCCNC(=O)N1N=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1C
cyclopentolate	CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C
MRS1845	CCOC(=O)C1=C(C)N(CC#C)C(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC
imexon	N=C1NC(=O)N2CC12
dobutamine	CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
regadenoson	CNC(=O)c1cnn(c1)-c1nc(N)c2ncn([C@@H]3O[C@H](CO)C(O)C3O)c2n1
monastrol	CCOC(=O)C1=C(C)NC(=S)NC1c1cccc(O)c1
prednisolone-hemisuccinate	C[C@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O
editol	CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O
cefotetan	CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O
nefopam	CN1CCOC(c2ccccc2)c2ccccc2C1
A740003	COc1ccc(CC(=O)NC(N\C(Nc2cccc3ncccc23)=N\C#N)C(C)(C)C)cc1OC
3-deazaadenosine	Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O
tropicamide	CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
sirolimus	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
memantine	CC12CC3CC(C)(C1)CC(N)(C3)C2
midodrine	COc1ccc(OC)c(c1)C(O)CNC(=O)CN
bendroflumethiazide	NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F
NSC-23766	CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
hydroxyamphetamine	CC(N)Cc1ccc(O)cc1
cloperastine	Clc1ccc(cc1)C(OCCN1CCCCC1)c1ccccc1
fenoprofen	CC(C(O)=O)c1cccc(Oc2ccccc2)c1
glycopyrrolate	C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)c1ccccc1
BI-D1870	CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12
saxagliptin	N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C12CC3CC(CC(O)(C3)C1)C2
oligomycin-a	CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C
fenclonine-(+/-)	NC(Cc1ccc(Cl)cc1)C(O)=O
tolvaptan	Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc23)c(C)c1
miconazole	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
tibolone	C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@H](CC[C@@]3(O)C#C)C12
mepazine	CN1CCCC(CN2c3ccccc3Sc3ccccc23)C1
prasugrel	CC(=O)Oc1cc2CN(CCc2s1)C(C(=O)C1CC1)c1ccccc1F
ardeparin	CC(=O)NC1C(O)OC(COS(O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4OS(O)(=O)=O)C(O)=O)C(OS(O)(=O)=O)C3NS(O)(=O)=O)C(O)C2OS(O)(=O)=O)C(O)=O)C1O
A61603	CS(=O)(=O)Nc1c(O)ccc2C(CCCc12)C1=NCCN1
dexamethasone-sodium-phosphate	C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(O)(O)=O
mephenytoin	CCC1(NC(=O)N(C)C1=O)c1ccccc1
meloxicam	CN1C(C(=O)Nc2ncc(C)s2)C(=O)c2ccccc2S1(=O)=O
tropanyl-3,5-dimethylbenzoate	CN1C2CCC1CC(C2)OC(=O)c1cc(C)cc(C)c1
thioridazine	CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1
pimobendan	COc1ccc(cc1)-c1nc2cc(ccc2[nH]1)C1=NNC(=O)CC1C
nilvadipine	COC(=O)C1=C(NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C)C#N
alcuronium	OC\C=C1/C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1\C1=C\N2C5[C@]6(CC[N@@+]7(CC=C)C\C(=C/CO)[C@H](C[C@@H]67)\C5=C\N(C31)c1ccccc41)c1ccccc21
NCS-382	OC1c2ccccc2CCC\C1=C/C(O)=O
3-alpha-bis-(4-fluorophenyl)-methoxytropane	CN1C2CCC1CC(C2)OC(c1ccc(F)cc1)c1ccc(F)cc1
ascorbic-acid	OC[C@H](O)[C@H]1OC(=O)C(=O)C1O
L-670596	CS(=O)(=O)c1ccc(Cn2c3C(CC(O)=O)CCCc3c3cc(F)cc(F)c23)cc1
piketoprofen	CC(C(=O)Nc1cc(C)ccn1)c1cccc(c1)C(=O)c1ccccc1
bemesetron	CN1C2CCC1CC(C2)OC(=O)c1cc(Cl)cc(Cl)c1
clopamide	CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O
fulvestrant	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31
nibentan	CCN(CC)CCCCC(NC(=O)c1ccc(cc1)[N+]([O-])=O)c1ccccc1
flurbiprofen-(+/-)	CC(C(O)=O)c1ccc(c(F)c1)-c1ccccc1
varenicline	C1C2CNCC1c1cc3nccnc3cc21
tetrahydrouridine	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CCC(O)NC1=O
L-(+)-Rhamnose-Monohydrate	C[C@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O
ractopamine	CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)cc1
1-(1,2-Diphenylethyl)piperidine-(+/-)	C(C(N1CCCCC1)c1ccccc1)c1ccccc1
andrographolide	C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/[C@H](O)COC3=O)C(=C)CCC12
nicaraven	CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1
masoprocol	CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
AZD7545	CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)c(Cl)c1
tenidap	NC(=O)N1C(=O)C(C(=O)c2cccs2)c2cc(Cl)ccc12
moguisteine	CCOC(=O)CC(=O)N1CCSC1COc1ccccc1OC
pronethalol	CC(C)NCC(O)c1ccc2ccccc2c1
benzotript	OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccc(Cl)cc1
equilin	CC12CCC3C(=CCc4cc(O)ccc34)C1CCC2=O
halcinonide	CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)[C@@]2(O1)C(=O)CCl
trelagliptin	Cn1c(=O)cc(N2CCCC(N)C2)n(Cc2cc(F)ccc2C#N)c1=O
SKF-38393	Oc1cc2CCNCC(c3ccccc3)c2cc1O
bucetin	CCOc1ccc(NC(=O)CC(C)O)cc1
sorbinil	Fc1ccc2OCCC3(NC(=O)NC3=O)c2c1
bisoprolol	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
dalargin	CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=N)C(O)=O
PD-102807	CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12
mefloquine	OC(C1CCCCN1)c1cc(nc2c(cccc12)C(F)(F)F)C(F)(F)F
carnitine-(D/L)	C[N+](C)(C)CC(O)CC(O)=O
CGP-55845	C[C@H](NC[C@H](O)CP(O)(=O)Cc1ccccc1)c1ccc(Cl)c(Cl)c1
CGP-37849	C\C(CP(O)(O)=O)=C/C(N)C(O)=O
guaifenesin	COc1ccccc1OCC(O)CO
eptifibatide	NC(=N)NCCCCC1NC(=O)CCSSCC(NC(=O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(O)=O)NC(=O)CNC1=O)C(N)=O
lornoxicam	CN1C(C(=O)Nc2ccccn2)C(=O)c2sc(Cl)cc2S1(=O)=O
clinofibrate	CCC(C)(Oc1ccc(cc1)C1(CCCCC1)c1ccc(OC(C)(CC)C(O)=O)cc1)C(O)=O
manidipine	COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(c1ccccc1)c1ccccc1
isradipine	COC(=O)C1=C(C)NC(C)=C(C1c1cccc2nonc12)C(=O)OC(C)C
adrafinil	ONC(=O)CS(=O)C(c1ccccc1)c1ccccc1
bepridil	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
eprinomectin	CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](OC4C[C@H](OC)C(O[C@H]5C[C@H](OC)[C@@H](NC(C)=O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C=C[C@@H]1C
estradiol-cypionate	C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2OC(=O)CCC1CCCC1
chloroquine	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
camylofine-chlorhydrate	CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
picrotin	CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC33C(=O)OC2C13C
tetrahydropapaverine	COc1ccc(CC2NCCc3cc(OC)c(OC)cc23)cc1OC
shikimic-acid	O[C@@H]1CC(=CC(O)C1O)C(O)=O
triamcinolone-acetonide	CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
danazol	C[C@]12CCC3C(CCC4=Cc5oncc5C[C@]34C)C1CC[C@@]2(O)C#C
trimebutine	CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c1ccccc1
tocainide	CC(N)C(=O)Nc1c(C)cccc1C
tie2-kinase-inhibitor	COc1ccc2cc(ccc2c1)-c1nc([nH]c1-c1ccncc1)-c1ccc(cc1)S(C)=O
lupanine	O=C1CCCC2C3CC(CN12)[C@@H]1CCCCN1C3
N-acetylmannosamine	CC(=O)NC1[C@@H](O)OC(CO)[C@@H](O)[C@H]1O
SM-21	CCC(Oc1ccc(Cl)cc1)C(=O)OC1CC2CCC(C1)N2C
ciglitazone	CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
temazepam	CN1c2ccc(Cl)cc2C(=NC(O)C1=O)c1ccccc1
digitoxin	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
thalidomide	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12
isoconazole	Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
allopurinol-riboside	OC[C@H]1O[C@H](C(O)[C@H]1O)n1[nH]cc2c1ncnc2=O
PETCM	OC(Cc1ccncc1)C(Cl)(Cl)Cl
nicotine	CN1CCCC1c1cccnc1
sodium-danshensu	OC(Cc1ccc(O)c(O)c1)C(O)=O
clinafloxacin	NC1CCN(C1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)C1CC1
telithromycin	CCC1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](OC2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@@H](C)[C@@H]2N(CCCCn3cnc(c3)-c3cccnc3)C(=O)O[C@]12C)OC
AZD6765	NC(Cc1ccccn1)c1ccccc1
talinolol	CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1
ki16198	COC(=O)CCSCc1ccc(cc1)-c1onc(C)c1NC(=O)OC(C)c1ccccc1Cl
prednisolone-sodium-phosphate	C[C@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)COP(O)(O)=O
bifonazole	c1cn(cn1)C(c1ccccc1)c1ccc(cc1)-c1ccccc1
metaxalone	Cc1cc(C)cc(OCC2CNC(=O)O2)c1
digoxin	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
vildagliptin	OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N
ginkgolide-a	C[C@@H]1C(=O)O[C@H]2CC34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O
methyclothiazide	CN1C(CCl)Nc2cc(Cl)c(cc2S1(=O)=O)S(N)(=O)=O
celiprolol	CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O
nisoxetine	CNCCC(Oc1ccccc1OC)c1ccccc1
talarozole	CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1
indapamide	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O
colfosceril-palmitate	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC
sertaconazole	Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1
eflornithine	NCCCC(N)(C(F)F)C(O)=O
allantoin	NC(=O)NC1NC(=O)NC1=O
FPL-55712	CCCc1c(OCC(O)COc2ccc3c(oc(cc3=O)C(O)=O)c2CCC)ccc(C(C)=O)c1O
EBPC	CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O
isosteviol	C[C@]12C[C@@]3(CC1=O)CC[C@H]1[C@@](C)(CCC[C@@]1(C)C(O)=O)C3CC2
M-14157	CCCCCC(O)CCCC(O)=O
fenoterol	CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
rosiglitazone	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
piperidolate	CCN1CCCC(C1)OC(=O)C(c1ccccc1)c1ccccc1
ranolazine	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
pindolol	CC(C)NCC(O)COc1cccc2[nH]ccc12
hexylcaine	CC(CNC1CCCCC1)OC(=O)c1ccccc1
ketoprofen	CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1
chloralose	OCC(O)[C@H]1O[C@@H]2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl
hydroxytacrine-maleate-(r,s)	Nc1c2C(O)CCCc2nc2ccccc12
talniflumate	FC(F)(F)c1cccc(Nc2ncccc2C(=O)OC2OC(=O)c3ccccc23)c1
desvenlafaxine	CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1
epinastine	NC1=NCC2N1c1ccccc1Cc1ccccc21
hydroxychloroquine	CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
metipranolol	CC(C)NCC(O)COc1cc(C)c(OC(C)=O)c(C)c1C
ethosuximide	CCC1(C)CC(=O)NC1=O
bethanechol	CC(C[N+](C)(C)C)OC(N)=O
paliperidone	Cc1nc2C(O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12
carisoprodol	CCCC(C)(COC(N)=O)COC(=O)NC(C)C
estramustine-phosphate	C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2OP(O)(O)=O
RWJ-21757	Nc1nc2n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)n(CC=C)c2c(=O)[nH]1
adarotene	OC(=O)\C=C\c1ccc(cc1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
colchicine	COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC
PPT	CCCc1c(nn(c1-c1ccc(O)cc1)-c1ccc(O)cc1)-c1ccc(O)cc1
RITA	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1
NU-7441	O=c1cc(oc2c(cccc12)-c1cccc2c3ccccc3sc12)N1CCOCC1
phloroglucin	Oc1cc(O)cc(O)c1
Ro-08-2750	Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C)c2cc1C=O
trovafloxacin	N[C@H]1[C@@H]2CN(C[C@H]12)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1F
peramivir	CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O
ATN-161	CC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(N)=O
9-aminoacridine	Nc1c2ccccc2nc2ccccc12
delapril	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(O)=O)C1Cc2ccccc2C1
ticlopidine	Clc1ccccc1CN1CCc2sccc2C1
altanserin	Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1
AG-14361	CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23
tubastatin-a	CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO
CL-218872	Cc1nnc2ccc(nn12)-c1cccc(c1)C(F)(F)F
famotidine	NC(N)=Nc1nc(CSCC\C(N)=N/S(N)(=O)=O)cs1
orteronel	CNC(=O)c1ccc2cc(ccc2c1)[C@]1(O)CCn2cncc12
brexpiprazole	O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1
D-Phenylalanine	N[C@H](Cc1ccccc1)C(O)=O
IMREG-1	N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(O)=O
sulfamethoxypyridazine	COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
picolinic-acid	O=C(O[Cr](OC(=O)c1ccccn1)OC(=O)c1ccccn1)c1ccccn1
sofalcone	CC(C)=CCOc1ccc(\C=C\C(=O)c2ccc(OCC=C(C)C)cc2OCC(O)=O)cc1
finasteride	CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
nitisinone	[O-][N+](=O)c1cc(ccc1C(=O)C1C(=O)CCCC1=O)C(F)(F)F
anamorelin	CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N
cloxacillin	Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1ccccc1Cl
pimozide	Fc1ccc(cc1)C(CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc(F)cc1
sucrose-octaacetate	CC(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
uric-acid	O=c1[nH]c2[nH]c(=O)[nH]c(=O)c2[nH]1
CZC24832	CC(C)(C)NS(=O)(=O)c1cncc(c1)-c1cc(F)c2nc(N)nn2c1
apigenin	Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1
pyrazolanthrone	O=C1c2ccccc2-c2n[nH]c3cccc1c23
adenosine	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
dihydromyricetin	O[C@@H]1[C@H](Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1
maltobionic-acid	OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)C(O)=O
indatraline	CN[C@@H]1C[C@H](c2ccccc12)c1ccc(Cl)c(Cl)c1
chlorindanol	Oc1ccc(Cl)c2CCCc12
diphenidol	OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
triapine	NC(=S)N\N=C\c1ncccc1N
histamine	NCCc1c[nH]cn1
TAK-901	CCS(=O)(=O)c1cccc(c1)-c1cc(C(=O)NC2CCN(C)CC2)c(C)c2[nH]c3ncc(C)cc3c12
ciproxifan	O=C(C1CC1)c1ccc(OCCCc2c[nH]cn2)cc1
UNC2250	CCCCNc1ncc(-c2ccc(CN3CCOCC3)cn2)c(N[C@H]2CC[C@H](O)CC2)n1
