StructID,MoAs,Targets
ST25957,PI3K inhibitor,PIK3CD|PIK3CB|PIK3CG
ST25958,PI3K inhibitor,PIK3CD
ST25959,PI3K inhibitor,PIK3CA
ST25960,PI3K inhibitor,PIK3CD|PIK3CA
ST25961,PI3K inhibitor,PIK3CG
ST25962,PI3K inhibitor,PIK3CD|PIK3CG
ST25963,PI3K inhibitor,PIK3CD|PIK3CG
ST25964,DNA dependent protein kinase inhibitor|PI3K inhibitor,PIK3CD|PIK3CA|PIK3CB|PRKDC
ST25965,Casein kinase inhibitor|PI3K inhibitor,BRD3|BRD2|BRD4
ST25966,DNA protein kinase inhibitor|PI3K inhibitor,PIK3CA
ST25967,PI3K inhibitor,PI4KB
ST25968,PI3K inhibitor,PIK3CA
ST25969,PI3K inhibitor,PIK3CB
ST25970,PI3K inhibitor,PIK3CA|PIK3CG|PLK1
ST25971,PI3K inhibitor,PIK3CA|PIK3CG|PLK1
ST25972,PI3K inhibitor,PIK3CA|PIK3CG|PLK1
ST25973,PI3K inhibitor,PIK3CD|PIK3CA|PIK3CG
ST25974,PI3K inhibitor,PIK3CG
ST25975,ROR antagonist,RORC
ST25976,ROR antagonist,RORC
ST25977,Reducing agent|5 alpha reductase inhibitor|Gastrin inhibitor,GAST
ST25978,Immunosuppressant|GABA receptor antagonist|Reducing agent|Platelet activating factor receptor antagonist|Glycine receptor antagonist|Peptidase inhibitor|Protease inhibitor,GLRB|GLRA1|PTAFR
ST25979,Immunosuppressant|GABA receptor antagonist|Reducing agent|Platelet activating factor receptor antagonist|Glycine receptor antagonist|Peptidase inhibitor|Protease inhibitor,GLRB|GLRA1|PTAFR
ST25980,SERT inhibitor,SLC6A3|SLC6A2|SLC6A4
ST25981,SERT inhibitor,SLC6A2|SLC6A4
ST25982,SIRT activator,SIRT1
ST25983,Cytochrome P450 inhibitor|SIRT activator,PTGS1|PTGS2|SIRT1
ST25984,SIRT inhibitor,SIRT2
ST25985,SIRT inhibitor,SIRT1
ST25986,SIRT inhibitor,SIRT1
ST25987,SIRT inhibitor,SIRT2|SIRT1
ST25988,SIRT inhibitor,SIRT2|SIRT1
ST25989,Acetylcholinesterase inhibitor|STAT inhibitor,STAT3
ST25990,STAT inhibitor,STAT3
ST25991,DNA replication inhibitor|STAT inhibitor,STAT3
ST25992,Quorum sensing signaling modulator|HIV protease inhibitor|Tyrosine phosphatase inhibitor|NFKB pathway inhibitor|Acetylcholinesterase inhibitor|Lipid peroxidase inhibitor|11-beta hydroxysteroid dehydrogenase inhibitor|ATPase inhibitor|Caspase inhibitor|Steryl sulfatase inhibitor|STAT inhibitor,PTPN1|HSD11B1
ST25993,Quorum sensing signaling modulator|HIV protease inhibitor|Tyrosine phosphatase inhibitor|NFKB pathway inhibitor|Acetylcholinesterase inhibitor|Lipid peroxidase inhibitor|11-beta hydroxysteroid dehydrogenase inhibitor|ATPase inhibitor|Caspase inhibitor|Steryl sulfatase inhibitor|STAT inhibitor,PTPN1|HSD11B1
ST25994,TP53 activator|NFKB pathway inhibitor|Cytokine production inhibitor,TP53
ST25995,TP53 activator|GABA receptor antagonist,GABRA1
ST25996,TP53 activator|GABA receptor antagonist,GABRA1
ST25997,TP53 inhibitor,TP53
ST25998,XIAP inhibitor,BIRC2|XIAP
ST25999,XIAP inhibitor|Caspase activator,CASP8|XIAP
ST26000,XIAP inhibitor,XIAP
ST26001,XIAP inhibitor,XIAP
ST26002,XIAP inhibitor,XIAP
ST26003,XIAP inhibitor,XIAP
ST26004,XIAP inhibitor,XIAP
ST26005,C-Met inhibitor,MET
ST26006,C-Met inhibitor,MET
ST26007,C-Met inhibitor,MET
ST26008,CSF1R inhibitor,CSF1R
ST26009,Chelating agent,CYP3A4
ST26010,Chelating agent,UGT1A6
ST26011,Chelating agent,DNMT1
ST26012,Chelating agent,CES1
ST26013,DOT1L inhibitor,DOT1L
ST26014,DOT1L inhibitor,DOT1L
ST26015,EPHB3 inhibitor,EPHB3
ST26016,FOXM1 inhibitor|Protein synthesis inhibitor,FOXM1
ST26017,FOXM1 inhibitor|Protein synthesis inhibitor,FOXM1
ST26018,GSK-3 inhibitor,GSK3B
ST26019,GSK-3 inhibitor,GSK3B
ST26020,GSK-3 inhibitor,GSK3B
ST26021,GSK-3 inhibitor,GSK3B
ST26022,GSK-3 inhibitor,GSK3B
ST26023,HMGCR inhibitor,DPP4|HMGCR
ST26024,HMGCR inhibitor,DPP4|HMGCR
ST26025,HMGCR inhibitor,HMGCR
ST26026,HMGCR inhibitor,HMGCR
ST26027,HMGCR inhibitor,HMGCR
ST26028,HMGCR inhibitor,HMGCR
ST26029,HMGCR inhibitor,HMGCR
ST26030,HMGCR inhibitor,HMGCR
ST26031,HMGCR inhibitor,HMGCR
ST26032,HMGCR inhibitor,HMGCR
ST26033,HMGCR inhibitor,HMGCR
ST26034,HMGCR inhibitor,HMGCR
ST26035,HMGCR inhibitor,HMGCR
ST26036,HMGCR inhibitor,HMGCR
ST26037,HMGCR inhibitor,HMGCR
ST26038,HMGCR inhibitor,HMGCR
ST26039,HMGCR inhibitor,HMGCR
ST26040,HMGCR inhibitor,HMGCR
ST26041,HMGCR inhibitor,HTR3A
ST26042,HMGCR inhibitor,HMGCR
ST26043,HMGCR inhibitor,HMGCR
ST26044,HMGCR inhibitor,HMGCR
ST26045,HMGCR inhibitor,HMGCR
ST26046,IGF-1 inhibitor,IGF1R
ST26047,IGF-1 inhibitor,IGF1R
ST26048,IGF-1 inhibitor,IGF1R
ST26049,IGF-1 inhibitor,INSR
ST26050,IGF-1 inhibitor|Insulin receptor ligand,INSR|IGF1R
ST26051,IGF-1 inhibitor,INSR|IGF1R
ST26052,IGF-1 inhibitor,INSR|IGF1R
ST26053,IGF-1 inhibitor,INSR|IGF1R
ST26054,IGF-1 inhibitor,IGF1R
ST26055,IGF-1 inhibitor,IGF1R
ST26056,IGF-1 inhibitor,IGF1R
ST26057,IGF-1 inhibitor,IGF1R
ST26058,IGF-1 inhibitor,IGF1R
ST26059,IMPDH inhibitor,IMPDH1|IMPDH2
ST26060,IMPDH inhibitor,IMPDH1
ST26061,Immunosuppressant|IMPase inhibitor|Hydroxycarboxylic acid receptor agonist|IMPDH inhibitor|Dehydrogenase inhibitor,IMPDH1|IMPDH2
ST26062,MALT1 inhibitor,MALT1
ST26063,Muscle relaxant,CA1
ST26064,NADPH inhibitor,NOX1
ST26065,NADPH inhibitor,VKORC1|NQO1
ST26066,NAMPT inhibitor,NAMPT
ST26067,NAMPT inhibitor,NAMPT
ST26068,Nootropic agent,TYR
ST26069,PDGFR inhibitor,PDGFRB
ST26070,VEGFR inhibitor|PDGFR inhibitor,FLT4|KDR|FLT1
ST26071,PDGFR inhibitor,PDGFRB
ST26072,PDGFR inhibitor,PDGFRA|PDGFRB
ST26073,Dihydroorotate dehydrogenase inhibitor|PDGFR inhibitor,DHODH
ST26074,VEGFR inhibitor|PDGFR inhibitor,PDGFRB|FLT4|FLT3|CSF1R|FLT1|KDR
ST26075,Tyrosine kinase inhibitor|VEGFR inhibitor|PDGFR inhibitor,KDR
ST26076,PDGFR inhibitor,PDGFRA
ST26077,Protease inhibitor|Renin inhibitor|Anti-hypertensive agent|Peptidase inhibitor,REN
ST26078,Renin inhibitor,REN
ST26079,SREBP inhibitor,SREBF1|SREBF2
ST26080,TRPV antagonist,TRPV1
ST26081,TRPV antagonist,TRPV1
ST26082,TRPV antagonist,TRPV1
ST26083,Aromatase inhibitor|TRPV antagonist,CYP19A1|ESR2
ST26084,Aromatase inhibitor|TRPV antagonist,CYP19A1|ESR2
ST26085,TRPV antagonist,PKD2L1
ST26086,TRPV antagonist,TRPV4
ST26087,TRPV antagonist,TRPV1
ST26088,TRPV antagonist,TRPV1
ST26089,Aurora kinase inhibitor|Pim kinase inhibitor|VEGFR inhibitor,PIM1|AURKB
ST26090,VEGFR inhibitor|RET tyrosine kinase inhibitor,RET|MET|FLT3|TEK|KIT|KDR
ST26091,VEGFR inhibitor,MET|KDR
ST26092,VEGFR inhibitor,MET|KDR
ST26093,VEGFR inhibitor,FLT4
ST26094,Aurora kinase inhibitor|Pim kinase inhibitor|VEGFR inhibitor,PIM1|AURKB
ST26095,VEGFR inhibitor,AXL|MET
ST26096,VEGFR inhibitor|TIE tyrosine kinase inhibitor|Abl kinase inhibitor,BCR|FLT3|TEK|ABL1|KDR
ST26097,VEGFR inhibitor,PDGFRB|KDR|KIT|FLT1
ST26098,VEGFR inhibitor,ERBB2
ST26099,VEGFR inhibitor,PDGFRB|FLT4|PDGFRA|KIT|FLT1|KDR
ST26100,VEGFR inhibitor,KDR
ST26101,ARFGAP inhibitor,ARFGAP1
ST26102,ATPase inhibitor,ATP4A
ST26103,ATPase inhibitor,MYH2
ST26104,ATPase inhibitor,ATP1A1
ST26105,ATPase inhibitor,ATP1A1
ST26106,ATPase inhibitor,ATP2A1
ST26107,ATPase inhibitor,ATP2A1
ST26108,ATPase inhibitor,ATP1A1
ST26109,ATPase inhibitor,ATP1A1
ST26110,ATPase inhibitor,ATP1A1
ST26111,ATPase inhibitor,ATP1A1
ST26112,ATPase inhibitor,ATP1A1
ST26113,ATPase inhibitor,ATP1A1
ST26114,ATPase inhibitor,ATP1A1
ST26115,ATPase inhibitor,ATP1A1
ST26116,ATPase inhibitor,ATP4A
ST26117,ATPase inhibitor,ATP1A1
ST26118,ATPase inhibitor,ATP1A1
ST26119,ATPase inhibitor,ATP4A
ST26120,ATP synthase inhibitor|ATPase inhibitor,ATP5F1A
ST26121,ATP synthase inhibitor|ATPase inhibitor,ATP5F1A
ST26122,ATP synthase inhibitor|ATPase inhibitor,ATP5F1A
ST26123,ATP synthase inhibitor|ATPase inhibitor,ATP5F1A
ST26124,ATPase inhibitor,ATP1A1
ST26125,ATPase inhibitor,ATP1A1
ST26126,ATPase inhibitor,ATP1A1
ST26127,ATPase inhibitor,ATP1A1
ST26128,ATPase inhibitor,ATP4A
ST26129,ATPase inhibitor,ATP1A1
ST26130,Gastrin inhibitor|ATPase inhibitor,ATP4A
ST26131,ATPase inhibitor,ATP4A
ST26132,ATPase inhibitor,ATP1A1
ST26133,ATPase inhibitor,IDO1
ST26134,ATPase inhibitor,ATP2A1
ST26135,ATPase inhibitor,ATP2A1
ST26136,ATPase inhibitor,VCP
ST26137,Plasminogen activator inhibitor|Antifibrinolytic|Fibrinogen stimulant,PLG
ST26138,Topoisomerase inhibitor|DNA intercalator|Angiotensin converting enzyme activator,AOC1
ST26139,Ephrin inhibitor,DDR1
ST26140,Ephrin inhibitor,DDR1
ST26141,Ephrin inhibitor,EPHB4
ST26142,GGTase inhibitor,CDKN1A
ST26143,IMPase inhibitor,TSPO
ST26144,IMPase inhibitor,IMPA1
ST26145,IMPase inhibitor,IMPA1
ST26146,Lipase inhibitor,PNLIP
ST26147,Lipase inhibitor,PNLIP|DAGLA|FASN|LIPF
ST26148,Local anesthetic,SCN5A
ST26149,Local anesthetic,SCN5A
ST26150,Neurotransmitter|Adrenergic receptor agonist,ADRB2|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRA1A|ADRB3|ADRA1B
ST26151,S100A9 inhibitor|Angiogenesis inhibitor,HDAC4|S100A9
ST26152,Anti-cancer agent,IKBKB
ST26153,Anti-cancer agent,TNF|CRBN
ST26154,Anti-cancer agent,TNF|CRBN
ST26155,Anti-cancer agent,CYP2E1
ST26156,Anti-cancer agent|Aryl hydrocarbon receptor antagonist,NFE2L2
ST26157,Calpain inhibitor,CTSB|CAPN1
ST26158,Caspase activator,CASP3
ST26159,SARS coronavirus 3C-like protease inhibitor|HIV integrase inhibitor|Topoisomerase inhibitor|Apoptosis stimulant|NFkB pathway activator|Caspase activator|Diacylglycerol O acyltransferase inhibitor,GPBAR1
ST26160,SARS coronavirus 3C-like protease inhibitor|HIV integrase inhibitor|Topoisomerase inhibitor|Apoptosis stimulant|NFkB pathway activator|Caspase activator|Diacylglycerol O acyltransferase inhibitor,GPBAR1
ST26161,Caspase activator,CASP3
ST26162,Caspase activator,CYCS
ST26163,Caspase activator,CASP3
ST26164,Caspase inhibitor,CASP3
ST26165,Caspase inhibitor,CASP1
ST26166,Caspase inhibitor,CASP3
ST26167,Caspase inhibitor,CASP3
ST26168,Caspase inhibitor,STAT1|CASP3
ST26169,Caspase inhibitor,CASP3
ST26170,Caspase inhibitor,CASP3
ST26171,Caspase inhibitor,CASP1
ST26172,DNA binding agent,TOP1
ST26173,Dynamin inhibitor,DNM2|DNM1L|DNM1
ST26174,Immunosuppressant|Glucocorticoid receptor agonist,NR3C1
ST26175,Immunosuppressant|Glucocorticoid receptor agonist,NR3C1
ST26176,Immunosuppressant|Sphingosine 1 phosphate receptor agonist,S1PR5|S1PR1|S1PR4|S1PR3
ST26177,Kinesin inhibitor,KIF11
ST26178,Kinesin inhibitor,KIF11
ST26179,Kinesin inhibitor,KIF11
ST26180,Kinesin inhibitor,KIF11
ST26181,Melanin inhibitor,TYR
ST26182,Melanin inhibitor,TYR
ST26183,Protein kinase inhibitor|Aurora kinase inhibitor|Mitotic inhibitor,AURKA
ST26184,NTPDase inhibitor,ENTPD3
ST26185,NTPDase inhibitor,ENTPD2|ENTPD1|ENTPD3
ST26186,Opioid antagonist,OPRM1
ST26187,DNA synthesis inhibitor|DNA repair enzyme inhibitor|Purine antagonist,RRM1|POLA1
ST26188,Purine antagonist,IMPDH1|IMPDH2
ST26189,Thiazide diuretic,SLC12A3
ST26190,Thiazide diuretic,KCNQ1|SLC12A3
ST26191,Thiazide diuretic,SLC12A3
ST26192,Protease inhibitor|Trypsin inhibitor|Peptidase inhibitor,PRSS1
ST26193,Tubulin inhibitor,TUBB
ST26194,Tubulin inhibitor,TUBB
ST26195,Tubulin inhibitor,TUBB
ST26196,Tubulin inhibitor,TUBB
ST26197,Tubulin inhibitor,TUBB
ST26198,Tubulin inhibitor|Microtubule stabilizing agent|Microtubule stimulant,TUBB
ST26199,Tubulin inhibitor,TUBB
ST26200,Tubulin inhibitor,TUBB
ST26201,Tubulin inhibitor|Bradykinin receptor antagonist,SIGMAR1
ST26202,Tubulin inhibitor|Bradykinin receptor antagonist,SIGMAR1
ST26203,Tubulin inhibitor|Bradykinin receptor antagonist,SIGMAR1
ST26204,Tubulin inhibitor|Bradykinin receptor antagonist,SIGMAR1
ST26205,Tubulin inhibitor,TUBB
ST26206,Tubulin inhibitor,TUBB|NR1I2
ST26207,Tubulin inhibitor,TUBB|NR1I2
ST26208,Tubulin inhibitor,TUBB|NR1I2
ST26209,Tubulin inhibitor,TUBB|NR1I2
ST26210,Tubulin inhibitor,TUBB
ST26211,Tubulin inhibitor|Microtubule inhibitor,TUBB
ST26212,Tubulin inhibitor|Microtubule inhibitor,TUBB
ST26213,Tubulin inhibitor|Microtubule inhibitor,TUBB
ST26214,Tubulin inhibitor|Microtubule inhibitor,TUBB
ST26215,Tubulin inhibitor|Microtubule inhibitor,TUBB
ST26216,Tubulin inhibitor,TUBB
ST26217,Tubulin inhibitor,TUBB
ST26218,Tubulin inhibitor,TUBB
ST26219,Tubulin inhibitor,TUBB
ST26220,Tubulin inhibitor,TUBB
ST26221,Tubulin inhibitor,TUBB
ST26222,Tubulin inhibitor,TUBB
ST26223,Tubulin inhibitor,TUBB
ST26224,Tubulin inhibitor,TUBB|NR1I2
ST26225,Anti-thyroid agent,TPO
ST26226,Anti-thyroid agent,TPO
ST26227,Calcium sensitizer,TNNC1
ST26228,Calcium sensitizer|Phosphodiesterase inhibitor,PDE3A
ST26229,Dopamine precursor,DRD3
ST26230,Elastase inhibitor,MPO
ST26231,Cytochrome P450 inhibitor|Imidazoline ligand,KCNN4
ST26232,Insulin sensitizer|Angiotensin antagonist|Angiotensin receptor antagonist,AGTR2
ST26233,Insulin sensitizer|PPAR receptor partial agonist,PPARG
ST26234,Insulin sensitizer,INS
ST26235,Insulin sensitizer|PPAR receptor agonist,PPARD
ST26236,Insulin sensitizer|PPAR receptor agonist,PPARG
ST26237,Insulin sensitizer|PPAR receptor agonist,PPARD
ST26238,Insulin sensitizer,CDIPT
ST26239,Insulin sensitizer|PPAR receptor agonist,PPARG
ST26240,Insulin sensitizer|PPAR receptor agonist,PPARG
ST26241,Insulin sensitizer|PPAR receptor agonist,PPARA|PPARG
ST26242,Insulin sensitizer|PPAR receptor agonist,PPARG
ST26243,Integrin inhibitor,ITGA5|ITGB3|ITGAV|ITGB1
ST26244,Integrin inhibitor,ITGB3|ITGAV
ST26245,Integrin inhibitor,ITGA4
ST26246,Integrin inhibitor,ITGB3
ST26247,P38 MAPK inhibitor,MAPK14
ST26248,P38 MAPK inhibitor,MAPK11|MAPK14|MAPK12
ST26249,P38 MAPK inhibitor,MAPK11|MAPK14
ST26250,P38 MAPK inhibitor,MAPK14
ST26251,P38 MAPK inhibitor,MAPK14
ST26252,TGF beta receptor inhibitor|P38 MAPK inhibitor,TGFBR1
ST26253,P38 MAPK inhibitor,MAPK14
ST26254,P38 MAPK inhibitor,MAPK14
ST26255,P38 MAPK inhibitor,MAPK14
ST26256,P38 MAPK inhibitor,MAPK1|MAPK11|MAPK14
ST26257,P38 MAPK inhibitor,MAPK1|MAPK11|MAPK14
ST26258,P38 MAPK inhibitor,MAPK11|MAPK14
ST26259,P38 MAPK inhibitor,MAPK11|MAPK14
ST26260,P38 MAPK inhibitor,MAPK14
ST26261,P38 MAPK inhibitor,MAPK14
ST26262,P38 MAPK inhibitor,MAPK14
ST26263,P38 MAPK inhibitor,MAPK14
ST26264,P38 MAPK inhibitor,MAPK14
ST26265,P38 MAPK inhibitor,MAPK14
ST26266,P38 MAPK inhibitor,MAPK14
ST26267,Survivin inhibitor,BIRC5
ST26268,Survivin inhibitor,BIRC5
ST26269,Thrombin inhibitor,F2
ST26270,Thrombin inhibitor,F2
ST26271,Thrombin inhibitor,F2
ST26272,Thrombin inhibitor|Serine protease inhibitor,F2
ST26273,Thrombin inhibitor,CYP2F1
ST26274,Thrombin inhibitor,F2
ST26275,Uric acid diuretic,SLC22A12
ST26276,Uricosuric blocker,SLC22A8|SLC22A6|SLC22A11
ST26277,Uricosuric blocker,SLC22A12|ABCC1
ST26278,ATP channel blocker,ABCC8
ST26279,Insulin secretagogue|ATP channel blocker,ABCC8
ST26280,ATP channel blocker,ABCC8|KCNJ11
ST26281,Anti-malarial agent,TLR9|TLR7
ST26282,NFKB pathway inhibitor|Anti-rheumatic drug,PTGS1|PTGS2|ALOX5
ST26283,Apoptosis inhibitor,HTR2B
ST26284,Apoptosis stimulant|Retinoid receptor agonist,RARA
ST26285,Apoptosis stimulant|Retinoid receptor agonist,RARA
ST26286,Farnesyltransferase inhibitor|Cell cycle inhibitor|Apoptosis stimulant,FNTA
ST26287,Binding of RNA helicase A to the transcription factor EWS-FLI1 inhibitor|Apoptosis stimulant,DHX9|FLI1
ST26288,Aromatase inhibitor,CYP19A1
ST26289,Aromatase inhibitor,CYP19A1
ST26290,Aromatase inhibitor,CYP19A1
ST26291,Aromatase inhibitor,CYP19A1
ST26292,Aromatase inhibitor,CYP19A1
ST26293,Aromatase inhibitor,CYP19A1
ST26294,Aromatase inhibitor,CYP19A1
ST26295,Aromatase inhibitor,CYP19A1
ST26296,Aromatase inhibitor,CYP19A1
ST26297,CCK receptor ligand,CCR8
ST26298,Cadherin antagonist,CDH2
ST26299,Cathepsin inhibitor,CTSK
ST26300,Cathepsin inhibitor,CTSB
ST26301,Cathepsin inhibitor,CTSK
ST26302,Cathepsin inhibitor,CTSL
ST26303,Exportin antagonist,XPO1
ST26304,Glutamate inhibitor,SCN5A
ST26305,Monoamine oxidase inhibitor|Glutamate inhibitor|Dopamine uptake inhibitor,SLC6A3|MAOB
ST26306,Monoamine oxidase inhibitor|Glutamate inhibitor|Dopamine uptake inhibitor,SLC6A3|MAOB
ST26307,Glutamate inhibitor,SLC1A2
ST26308,Glutamate inhibitor,SLC1A2
ST26309,HCN channel blocker,HCN4|HCN3|HCN1|HCN2
ST26310,HCN channel blocker,HCN4|HCN3|HCN1|HCN2
ST26311,Peptidase inhibitor,ANPEP|LAP3|NPEPPS
ST26312,Porcupine inhibitor,PORCN
ST26313,Porcupine inhibitor,PORCN
ST26314,Progesterone receptor agonist|Progestogen hormone,PGR
ST26315,Progestogen hormone,PGR
ST26316,Progestogen hormone,PGR
ST26317,Progesterone receptor agonist|Progestogen hormone,PGR
ST26318,Progesterone receptor agonist|Progestogen hormone,PGR
ST26319,Progestogen hormone,PGR
ST26320,Progestogen hormone,PGR
ST26321,Progestogen hormone,PGR
ST26322,Prostacyclin analog,PTGER3|PTGER4|PTGER1|PTGDR|PTGFR
ST26323,Prostacyclin analog,PTGER3|PTGER4|PTGER1|PTGDR|PTGFR
ST26324,Prostacyclin analog,PTGIR
ST26325,ROR inverse agonist,RORA
ST26326,Steroidal progestin,PGR
ST26327,Tankyrase inhibitor,TNKS2|TNKS
ST26328,ATR kinase inhibitor|ATM kinase inhibitor,ATM|ATR
ST26329,ATM kinase inhibitor,ATM
ST26330,ATM kinase inhibitor,ATM
ST26331,ATM kinase inhibitor,ATM
ST26332,ATR kinase inhibitor,ATR
ST26333,ATR kinase inhibitor,ATR
ST26334,AXL kinase inhibitor,AXL
ST26335,Abl kinase inhibitor,ABL1|PDGFRB
ST26336,Abl kinase inhibitor,ABL1|BCR
ST26337,Abl kinase inhibitor,ABL1|BCR|KIT
ST26338,Adrenergic inhibitor,SLC6A2
ST26339,Adrenergic inhibitor,SLC6A2
ST26340,Adrenergic inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor,HTR2C|HTR2A|SLC6A2|SLC6A4
ST26341,Adrenergic inhibitor|Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor,SLC6A2|SLC6A4
ST26342,Bacterial antifolate,DHFR
ST26343,Bacterial antifolate,P2RX3|P2RX2
ST26344,Dystrophin stimulant|CFTR channel agonist,DMD
ST26345,Methionine aminopeptidase inhibitor|Cell cycle inhibitor,METAP2
ST26346,DNA alkylating agent|DNA synthesis inhibitor,XIAP
ST26347,DNA alkylating agent,CYP2C19|CYP3A5|CYP2A6|CYP2C18|CYP2D6|CYP2B6|CYP3A7|CYP2C9|CYP3A4|CYP2C8
ST26348,DNA alkylating agent,CYP2C19|CYP3A5|CYP2A6|CYP2C18|CYP2B6|CYP3A7|CYP2C9|CYP3A4|PTGS1|CYP2C8
ST26349,DNA alkylating agent,MGMT
ST26350,GLP receptor agonist,GLP1R
ST26351,Hexokinase inhibitor,HK2
ST26352,Insulin secretagogue,ABCC8|KCNJ11
ST26353,Insulin secretagogue,ABCC8|KCNJ11
ST26354,Insulin secretagogue,ABCC8
ST26355,Insulin secretagogue,ABCC8|KCNJ11
ST26356,Insulin secretagogue,ABCC8|KCNJ11
ST26357,Insulin secretagogue,ABCC8|KCNJ11
ST26358,Insulin secretagogue,FFAR1
ST26359,Rho associated kinase activator|LIM kinase activator|Coflilin signaling pathway activator,RHOA
ST26360,Leucine rich repeat kinase inhibitor|MAP kinase inhibitor,MAPK7|LRRK2
ST26361,MAPK-interacting kinase inhibitor|MAP kinase inhibitor,MKNK1
ST26362,MAP kinase inhibitor,MAPK1|MAPK3
ST26363,MAP kinase inhibitor,MAPK7
ST26364,Neprilysin inhibitor,MME
ST26365,Osteoclast inhibitor|Bone resorption inhibitor,FDPS
ST26366,Osteoclast inhibitor,FDPS
ST26367,Metalloproteinase inhibitor|Osteoclast inhibitor|Farnesyl pyrophosphate synthase inhibitor|Bone resorption inhibitor,FDPS
ST26368,P selectin inhibitor,SELP
ST26369,Pim kinase inhibitor,PIM1
ST26370,Pim kinase inhibitor,PIK3CA
ST26371,Pim kinase inhibitor,PIM1
ST26372,Pim kinase inhibitor,PIM3|PIM2|FLT3|PIM1
ST26373,Proteasome inhibitor|NFKB pathway inhibitor,PSMB5|PSMB1|PSMB2
ST26374,Proteasome inhibitor|NFKB pathway inhibitor,PSMB5|PSMB1|PSMB2
ST26375,Proteasome inhibitor,PSMB9|PSMB10|PSMB2|PSMB8|PSMB1|PSMB5
ST26376,Proteasome inhibitor,PSMB1
ST26377,Proteasome inhibitor,F2R
ST26378,Telomerase inhibitor,TERT
ST26379,Telomerase inhibitor,TERT
ST26380,Tyrosinase inhibitor,TYR
ST26381,Tyrosinase inhibitor,TYR
ST26382,Vitamin K antagonist,VKORC1
ST26383,Vitamin K antagonist,VKORC1
ST26384,Vitamin K antagonist,VKORC1
ST26385,Vitamin K antagonist,VKORC1
ST26386,Vitamin K antagonist,VKORC1
ST26387,Potassium channel activator|ATP channel activator,KCNJ11
ST26388,Potassium channel activator|ATP channel activator,KCNJ11
ST26389,Potassium channel activator|ATP channel activator,ABCC8|ABCC9
ST26390,Potassium channel activator|ATP channel activator,ABCC8|ABCC9
ST26391,Anti-neoplastic agent,CYP11B1|CYP11A1
ST26392,Calcineurin inhibitor,PPP3CA|PPIA
ST26393,Calcineurin inhibitor,PPP3CA|PPIA
ST26394,Calcineurin inhibitor,PPP3CA|PPIA
ST26395,Calcineurin inhibitor,PPP3CA|PPIA
ST26396,Calcineurin inhibitor,NFATC1
ST26397,Calcineurin inhibitor,FKBP1A
ST26398,Calcineurin inhibitor,FKBP1A
ST26399,Calcineurin inhibitor,FKBP1A
ST26400,Calcineurin inhibitor,FKBP1A
ST26401,Calcineurin inhibitor,FKBP1A
ST26402,Calcitonin antagonist,CALCRL|CALCA
ST26403,Calcitonin antagonist,CALCRL|CALCA
ST26404,Calcitonin antagonist,RAMP1|CALCRL
ST26405,Calmodulin antagonist,CALM1
ST26406,Calmodulin antagonist|Calcium channel blocker,PDE1A|ATP2B1
ST26407,Calmodulin antagonist|Calcium channel blocker,PDE1A|ATP2B1
ST26408,Calmodulin antagonist,CAMKK2|CAMKK1
ST26409,Calmodulin antagonist,MYLK|CALM1|PDE1A
ST26410,Calmodulin antagonist,CALM2
ST26411,Calmodulin antagonist,CALM1
ST26412,Chemoreceptor agonist,GABRA1
ST26413,Niemann-Pick C1-like 1 protein antagonist|Cholesterol inhibitor,NPC1L1
ST26414,Niemann-Pick C1-like 1 protein antagonist|Cholesterol inhibitor,NPC1L1
ST26415,Lipase clearing factor inhibitor|Cholesterol inhibitor,LPL
ST26416,Coagulation inhibitor,F10
ST26417,Metalloproteinase inhibitor|Collagenase inhibitor,MMP3|MMP13|MMP2
ST26418,Metalloproteinase inhibitor|Collagenase inhibitor,MMP3|MMP13|MMP2
ST26419,GABA receptor agonist|Chloride channel agonist,GABBR1
ST26420,GABA receptor agonist|Chloride channel agonist,GABBR1
ST26421,GABA receptor agonist,GABBR1|GABBR2
ST26422,GABA receptor agonist,GABRA1
ST26423,GABA receptor agonist,GABRQ|GABRA1|GABRB1|GABRE|GABRA6|GABRB3|GABRG1|GABRG2|GABRA5|GABRB2|GABRA2|GABRP|GABRA4|GABRD|GABRA3|GABRG3
ST26424,GABA receptor agonist,GABBR1|GABBR2
ST26425,GABA receptor agonist,GABRD
ST26426,GABA receptor agonist|Benzodiazepine receptor agonist,GABRA1
ST26427,GABA receptor agonist,GABRB3|GABRB2
ST26428,Acetylcholine receptor agonist|GABA receptor agonist,CHRM1
ST26429,GABA receptor agonist,GABRA1|GABRA2
ST26430,GABA receptor agonist,GABRQ|GABRA1|GABRB1|GABRE|GABRA6|GABRB3|GABRG1|GABRG2|GABRA5|GABRB2|GABRA2|GABRP|GABRA4|GABRD|GABRA3|GABRG3
ST26431,GABA receptor agonist,GABRQ|GABRA1|GABRB1|GABRE|GABRA6|GABRB3|GABRG1|GABRG2|GABRA5|GABRB2|GABRA2|GABRP|GABRA4|GABRD|GABRA3|GABRG3
ST26432,GABA receptor agonist,GABRA1
ST26433,GABA uptake inhibitor,SLC6A1
